"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.28803,0.058256,5.6956e-08,-2.7731e-07,1,0.00025,1.25,-0.01225,0
0.28803,0.070445,9.0687e-08,-3.0726e-07,1,0.0005,1.25,-0.012,0
0.28803,0.082634,1.2442e-07,-3.3722e-07,1,0.00075,1.25,-0.01175,0
0.28803,0.095114,1.602e-07,-3.6715e-07,1,0.001,1.25,-0.0115,0
0.28803,0.11463,2.4564e-07,-3.9653e-07,1,0.00125,1.25,-0.01125,0
0.28803,0.13415,3.3107e-07,-4.2591e-07,1,0.0015,1.25,-0.011,0
0.28803,0.15367,4.1651e-07,-4.5529e-07,1,0.00175,1.25,-0.01075,0
0.28803,0.17319,5.0195e-07,-4.8467e-07,1,0.002,1.25,-0.0105,0
0.28803,0.19266,5.8974e-07,-5.1228e-07,1,0.00225,1.25,-0.01025,0
0.28803,0.21116,7.1555e-07,-5.111e-07,1,0.0025,1.25,-0.01,0
0.28803,0.22966,8.4136e-07,-5.0992e-07,1,0.00275,1.25,-0.00975,0
0.28803,0.24816,9.6717e-07,-5.0874e-07,1,0.003,1.25,-0.0095,0
0.28803,0.26666,1.093e-06,-5.0756e-07,1,0.00325,1.25,-0.00925,0
0.28803,0.28502,1.2188e-06,-5.0535e-07,1,0.0035,1.25,-0.009,0
0.28803,0.30113,1.345e-06,-4.871e-07,1,0.00375,1.25,-0.00875,0
0.28803,0.31724,1.4711e-06,-4.6884e-07,1,0.004,1.25,-0.0085,0
0.28803,0.33334,1.5973e-06,-4.5058e-07,1,0.00425,1.25,-0.00825,0
0.28803,0.34945,1.7235e-06,-4.3233e-07,1,0.0045,1.25,-0.008,0
0.28803,0.36553,1.8493e-06,-4.14e-07,1,0.00475,1.25,-0.00775,0
0.28803,0.37919,1.9453e-06,-3.8954e-07,1,0.005,1.25,-0.0075,0
0.28803,0.39286,2.0413e-06,-3.6508e-07,1,0.00525,1.25,-0.00725,0
0.28803,0.40652,2.1374e-06,-3.4063e-07,1,0.0055,1.25,-0.007,0
0.28803,0.42019,2.2334e-06,-3.1617e-07,1,0.00575,1.25,-0.00675,0
0.28803,0.43385,2.3294e-06,-2.9172e-07,1,0.006,1.25,-0.0065,0
0.28803,0.44526,2.3756e-06,-2.6619e-07,1,0.00625,1.25,-0.00625,0
0.28803,0.45646,2.4171e-06,-2.4056e-07,1,0.0065,1.25,-0.006,0
0.28803,0.46766,2.4586e-06,-2.1494e-07,1,0.00675,1.25,-0.00575,0
0.28803,0.47886,2.5002e-06,-1.8931e-07,1,0.007,1.25,-0.0055,0
0.28803,0.49006,2.5417e-06,-1.6369e-07,1,0.00725,1.25,-0.00525,0
0.28803,0.49932,2.531e-06,-1.3857e-07,1,0.0075,1.25,-0.005,0
0.28803,0.50804,2.5058e-06,-1.1359e-07,1,0.00775,1.25,-0.00475,0
0.28803,0.51676,2.4805e-06,-8.8608e-08,1,0.008,1.25,-0.0045,0
0.28803,0.52548,2.4552e-06,-6.3628e-08,1,0.00825,1.25,-0.00425,0
0.28803,0.53421,2.43e-06,-3.8647e-08,1,0.0085,1.25,-0.004,0
0.28803,0.54139,2.364e-06,-1.445e-08,1,0.00875,1.25,-0.00375,0
0.28803,0.54762,2.2731e-06,9.2674e-09,1,0.009,1.25,-0.0035,0
0.28803,0.55386,2.1822e-06,3.2985e-08,1,0.00925,1.25,-0.00325,0
0.28803,0.56009,2.0913e-06,5.6702e-08,1,0.0095,1.25,-0.003,0
0.28803,0.56633,2.0004e-06,8.0419e-08,1,0.00975,1.25,-0.00275,0
0.28803,0.57148,1.8869e-06,1.0334e-07,1,0.01,1.25,-0.0025,0
0.28803,0.57523,1.7437e-06,1.252e-07,1,0.01025,1.25,-0.00225,0
0.28803,0.57897,1.6005e-06,1.4707e-07,1,0.0105,1.25,-0.002,0
0.28803,0.58272,1.4573e-06,1.6894e-07,1,0.01075,1.25,-0.00175,0
0.28803,0.58646,1.3141e-06,1.9081e-07,1,0.011,1.25,-0.0015,0
0.28803,0.58964,1.1643e-06,2.1218e-07,1,0.01125,1.25,-0.00125,0
0.28803,0.59089,9.9164e-07,2.3184e-07,1,0.0115,1.25,-0.001,0
0.28803,0.59213,8.1898e-07,2.5151e-07,1,0.01175,1.25,-0.00075,0
0.28803,0.59338,6.4633e-07,2.7117e-07,1,0.012,1.25,-0.0005,0
0.28803,0.59463,4.7367e-07,2.9083e-07,1,0.01225,1.25,-0.00025,0
0.28803,0.59588,3.0102e-07,3.105e-07,1,0.0125,1.25,0,0
0.28803,0.59463,1.2441e-07,3.2749e-07,1,0.01275,1.25,0.00025,0
0.28803,0.59339,-5.2207e-08,3.4447e-07,1,0.013,1.25,0.0005,0
0.28803,0.59214,-2.2882e-07,3.6146e-07,1,0.01325,1.25,0.00075,0
0.28803,0.59089,-4.0543e-07,3.7845e-07,1,0.0135,1.25,0.001,0
0.28803,0.58965,-5.8204e-07,3.9544e-07,1,0.01375,1.25,0.00125,0
0.28803,0.58647,-7.4133e-07,4.0983e-07,1,0.014,1.25,0.0015,0
0.28803,0.58273,-8.9556e-07,4.2347e-07,1,0.01425,1.25,0.00175,0
0.28803,0.57899,-1.0498e-06,4.371e-07,1,0.0145,1.25,0.002,0
0.28803,0.57524,-1.204e-06,4.5074e-07,1,0.01475,1.25,0.00225,0
0.28803,0.5715,-1.3582e-06,4.6438e-07,1,0.015,1.25,0.0025,0
0.28803,0.56635,-1.4857e-06,4.7595e-07,1,0.01525,1.25,0.00275,0
0.28803,0.56011,-1.5927e-06,4.8592e-07,1,0.0155,1.25,0.003,0
0.28803,0.55388,-1.6997e-06,4.959e-07,1,0.01575,1.25,0.00325,0
0.28803,0.54765,-1.8067e-06,5.0588e-07,1,0.016,1.25,0.0035,0
0.28803,0.54141,-1.9137e-06,5.1586e-07,1,0.01625,1.25,0.00375,0
0.28803,0.53423,-1.9965e-06,5.2429e-07,1,0.0165,1.25,0.004,0
0.28803,0.52551,-2.0397e-06,5.3018e-07,1,0.01675,1.25,0.00425,0
0.28803,0.51679,-2.0829e-06,5.3607e-07,1,0.017,1.25,0.0045,0
0.28803,0.50807,-2.1261e-06,5.4196e-07,1,0.01725,1.25,0.00475,0
0.28803,0.49935,-2.1693e-06,5.4785e-07,1,0.0175,1.25,0.005,0
0.28803,0.49009,-2.1979e-06,5.5272e-07,1,0.01775,1.25,0.00525,0
0.28803,0.47889,-2.1742e-06,5.5392e-07,1,0.018,1.25,0.0055,0
0.28803,0.46769,-2.1506e-06,5.5513e-07,1,0.01825,1.25,0.00575,0
0.28803,0.45649,-2.1269e-06,5.5634e-07,1,0.0185,1.25,0.006,0
0.28803,0.44529,-2.1033e-06,5.5754e-07,1,0.01875,1.25,0.00625,0
0.28803,0.43388,-2.0749e-06,5.5829e-07,1,0.019,1.25,0.0065,0
0.28803,0.42021,-1.9953e-06,5.5408e-07,1,0.01925,1.25,0.00675,0
0.28803,0.40654,-1.9158e-06,5.4987e-07,1,0.0195,1.25,0.007,0
0.28803,0.39288,-1.8362e-06,5.4566e-07,1,0.01975,1.25,0.00725,0
0.28803,0.37921,-1.7567e-06,5.4145e-07,1,0.02,1.25,0.0075,0
0.28803,0.36555,-1.6771e-06,5.3724e-07,1,0.02025,1.25,0.00775,0
0.28803,0.34947,-1.5653e-06,5.2723e-07,1,0.0205,1.25,0.008,0
0.28803,0.33336,-1.4531e-06,5.1716e-07,1,0.02075,1.25,0.00825,0
0.28803,0.31725,-1.3409e-06,5.0709e-07,1,0.021,1.25,0.0085,0
0.28803,0.30115,-1.2287e-06,4.9702e-07,1,0.02125,1.25,0.00875,0
0.28803,0.28504,-1.1164e-06,4.8695e-07,1,0.0215,1.25,0.009,0
0.28803,0.26668,-1.002e-06,4.6992e-07,1,0.02175,1.25,0.00925,0
0.28803,0.24818,-8.8731e-07,4.5245e-07,1,0.022,1.25,0.0095,0
0.28803,0.22967,-7.7267e-07,4.3498e-07,1,0.02225,1.25,0.00975,0
0.28803,0.21117,-6.5803e-07,4.1751e-07,1,0.0225,1.25,0.01,0
0.28803,0.19267,-5.434e-07,4.0004e-07,1,0.02275,1.25,0.01025,0
0.28803,0.1732,-4.6264e-07,3.7285e-07,1,0.023,1.25,0.0105,0
0.28803,0.15368,-3.8398e-07,3.4505e-07,1,0.02325,1.25,0.01075,0
0.28803,0.13416,-3.0531e-07,3.1726e-07,1,0.0235,1.25,0.011,0
0.28803,0.11464,-2.2665e-07,2.8947e-07,1,0.02375,1.25,0.01125,0
0.28803,0.095119,-1.4799e-07,2.6167e-07,1,0.024,1.25,0.0115,0
0.28803,0.082639,-1.1489e-07,2.4024e-07,1,0.02425,1.25,0.01175,0
0.28803,0.070449,-8.3679e-08,2.1908e-07,1,0.0245,1.25,0.012,0
0.28803,0.058259,-5.2468e-08,1.9791e-07,1,0.02475,1.25,0.01225,0
